    020002BJ9 026874DS3 081437AT2 097023CJ2 13645RAD6 13645RBF0 14448CBC7 15135BAW1 21871XAS8 24422EWZ8 24422EXP9 314353AA1 36166NAK9 438516CM6 443201AC2 444859BR2 444859BV3 444859BY7 444859CA8 45687VAB2 539830CD9 540424AT5 56501RAN6 655844CR7 655844CT3 75513EAD3 759351AP4 760759BA7 760759BC3 907818FX1 91324PEJ7 slack_Sx_0 slack_Sx_1 slack_Sx_2 slack_Sy_0 slack_Sy_1 slack_Sy_2 slack_Sy_3         energy num_oc.
54          0         0         1         1         1         0         0         1         0         0         0         1         0         1         0         0         0         0         1         0         1         0         1         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0   -1133629.625       1
739         1         0         0         0         0         1         0         1         0         1         0         0         1         0         0         0         0         0         0         1         0         0         0         0         1         0         1         0         0         1         0          0          0          0          0          0          0          0  -1128204.5625       1
805         1         0         0         1         0         0         0         1         0         0         0         1         0         0         0         1         0         1         0         0         0         0         0         0         0         1         0         1         0         1         0          0          0          0          0          0          0          0   -1123265.375       1
275         1         1         1         0         1         0         1         1         0         0         0         1         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1          0          0          0          0          0          0          0 -1122418.71875       1
80          0         0         1         0         0         0         0         1         0         1         0         1         1         1         0         0         1         0         0         0         0         0         1         0         0         0         0         0         0         1         0          0          0          0          0          0          0          0  -1121374.4375       1
393         1         0         0         0         0         1         0         1         1         1         1         0         0         0         1         0         0         0         1         0         0         0         0         0         0         1         0         0         0         0         0          0          0          0          0          0          0          0 -1111531.59375       1
256         0         1         0         0         0         1         0         1         0         1         1         0         0         1         1         1         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0 -1110037.28125       1
229         1         0         0         0         0         0         1         1         0         1         0         1         1         0         0         0         1         0         1         0         1         0         0         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0 -1108655.71875       1
294         1         0         0         1         1         0         0         1         0         1         0         0         0         0         0         1         0         0         0         0         1         0         1         0         0         0         0         0         0         0         0          0          0          0          1          0          0          0    -1106693.75       1
425         1         0         0         1         0         0         0         1         0         0         1         1         0         0         0         0         0         0         0         0         1         0         0         1         0         0         1         0         0         0         1          0          0          0          0          0          0          0  -1105349.0625       1
707         0         0         0         0         0         0         0         1         1         1         0         1         0         0         0         0         0         1         1         0         0         0         1         1         0         0         1         0         0         0         0          0          0          0          0          0          0          0  -1102049.3125       1
807         0         0         0         1         0         0         0         1         0         0         0         1         0         0         0         0         0         1         0         1         1         0         0         0         0         0         1         0         0         1         1          0          0          0          0          0          0          0  -1100361.3125       1
371         1         0         0         0         0         1         1         1         1         0         0         1         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         1         1          0          0          0          0          0          0          0   -1094886.375       1
190         0         1         0         0         1         1         0         1         0         1         0         0         1         0         1         0         0         1         0         0         0         0         0         0         0         0         0         0         1         0         0          0          0          0          0          0          0          0 -1094229.34375       1
591         0         0         0         0         0         0         0         1         1         1         0         1         0         1         1         0         1         0         1         0         0         0         1         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0   -1094159.875       1
81          1         1         0         1         0         0         1         0         0         1         1         1         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         1         0          0          0          0          0          0          0          0 -1090475.65625       1
336         0         0         0         0         0         0         0         1         0         1         1         0         1         0         1         1         0         0         0         1         1         0         0         0         0         0         0         0         0         1         0          0          0          0          0          0          0          0  -1086886.8125       1
981         0         0         1         0         0         0         1         1         0         1         0         0         0         0         1         0         0         1         1         1         0         0         1         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0   -1083724.625       1
108         0         1         0         0         0         0         0         1         0         0         1         1         0         0         1         0         0         0         0         0         1         0         0         0         1         0         1         0         0         1         0          0          0          0          0          0          0          0     -1081800.0       1
672         0         0         0         1         1         0         0         1         0         0         0         1         0         0         1         1         0         0         1         0         0         0         0         0         0         0         0         1         1         0         0          0          0          0          0          0          0          0  -1079461.8125       1
197         1         1         0         0         0         0         0         1         0         1         1         0         0         1         1         0         1         0         0         0         0         0         0         0         0         0         0         1         0         0         0          0          0          0          0          0          0          0 -1078050.03125       1
313         0         0         1         0         0         0         1         1         0         1         0         0         0         0         0         0         0         1         0         1         1         0         0         0         0         0         0         1         0         1         0          0          0          0          0          0          0          0  -1078003.4375       1
56          0         0         0         1         0         1         1         1         1         0         0         0         0         1         0         1         0         0         0         0         0         0         0         1         0         0         0         0         0         0         1          0          0          0          0          0          0          0 -1077327.40625       1
358         0         0         1         1         0         0         0         1         0         0         0         1         0         1         0         1         0         0         0         0         0         1         0         0         0         0         1         0         1         0         0          0          0          0          0          0          0          0   -1076705.625       1
448         0         1         0         1         0         0         0         1         1         0         0         0         0         1         1         0         0         0         0         0         0         0         1         0         0         0         0         1         0         0         1          0          0          0          0          0          0          0  -1072524.3125       1
865         0         1         0         0         0         0         0         1         0         1         0         0         1         0         0         1         0         0         0         0         1         1         0         0         1         0         0         1         0         0         0          0          0          0          0          0          0          0  -1065408.3125       1
592         0         0         0         0         0         1         0         1         0         1         0         1         0         0         0         1         1         1         0         0         0         0         0         0         0         0         0         0         0         1         0          0          0          0          1          0          0          0 -1062379.03125       1
106         1         0         0         0         0         1         0         1         0         1         0         0         1         0         0         0         0         1         0         0         1         0         0         1         0         1         0         0         0         0         0          0          0          0          0          0          0          0   -1058115.875       1
192         0         0         0         1         0         0         0         1         0         1         0         1         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         1          0          0          0          0          0          0          1   -1057016.875       1
344         1         0         0         1         1         1         0         1         0         0         1         0         0         1         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0          0          0          0          1          0          0          0 -1051463.46875       1
379         0         0         0         1         0         0         0         1         1         1         1         0         0         0         0         0         1         0         0         0         1         0         0         0         1         0         0         0         1         0         0          0          0          0          0          0          0          0   -1050674.375       1
679         0         1         0         0         0         0         0         1         1         1         0         1         0         0         0         0         1         1         0         0         0         0         0         0         0         0         0         1         1         0         0          0          0          0          0          0          0          0 -1050384.84375       1
458         0         0         0         1         1         1         0         1         1         0         1         0         0         0         0         0         0         1         1         0         0         0         0         0         0         0         0         1         0         0         0          0          0          0          0          0          0          0 -1048134.28125       1
370         0         0         0         0         0         1         0         1         0         1         0         0         1         1         0         0         1         0         0         0         1         0         0         0         1         0         0         0         0         1         0          0          0          0          0          0          0          0  -1047599.4375       1
405         0         1         0         0         0         0         1         1         1         1         0         0         0         0         0         0         1         0         0         0         1         0         0         0         0         0         1         0         0         1         0          0          0          0          0          0          0          0   -1046047.875       1
724         0         1         0         0         0         0         0         1         0         1         0         1         0         0         0         0         0         1         1         0         0         0         0         0         0         0         1         0         0         0         0          0          0          0          0          0          0          1  -1045980.6875       1
5           1         1         0         1         0         0         0         1         0         0         1         0         0         0         0         0         0         1         1         1         0         0         0         0         0         0         0         0         0         0         0          0          0          0          1          0          0          0  -1040268.0625       1
255         1         0         1         0         0         0         0         1         0         0         0         1         0         0         0         1         0         0         0         1         0         0         0         1         0         1         1         0         0         0         0          0          0          0          0          0          0          0   -1038362.125       1
101         0         1         0         0         0         0         0         1         0         1         0         1         0         0         0         0         0         0         0         1         0         0         0         1         1         0         0         0         0         0         0          1          0          0          0          0          0          1    -1037475.75       1
115         0         1         0         0         0         1         0         1         0         0         0         0         1         0         0         1         0         0         1         1         1         0         0         0         1         0         0         0         0         0         0          0          0          0          0          0          0          0  -1036387.1875       1
755         0         0         0         0         1         1         0         1         1         1         0         0         1         0         0         0         0         0         0         0         0         1         0         1         0         0         0         1         0         0         0          0          0          0          0          0          0          0   -1034344.375       1
771         0         0         0         0         0         1         0         1         0         0         1         1         1         1         0         0         0         0         1         0         0         0         0         0         0         1         0         1         0         0         0          0          0          0          0          0          0          0  -1031671.0625       1
215         1         1         0         0         1         0         1         1         0         0         0         0         1         0         1         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0          0          0          0          0          0          0          0 -1030895.15625       1
347         1         1         1         0         1         0         0         1         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         1         0         1         0         0         0         0          0          0          0          0          0          0          0   -1029727.125       1
853         1         0         0         0         0         0         0         1         0         0         0         1         0         0         1         1         0         0         1         0         1         0         0         0         1         1         0         0         0         0         0          0          0          0          0          0          0          0  -1029551.5625       1
306         0         1         0         1         1         0         0         1         0         0         0         0         0         0         0         0         0         0         1         1         0         1         0         0         0         0         1         0         0         0         1          0          0          0          0          0          0          0  -1028142.8125       1
639         0         1         0         0         0         1         0         1         0         0         0         1         0         1         0         0         0         1         1         0         0         0         0         0         0         0         0         1         0         0         0          0          0          0          1          0          0          0  -1027906.3125       1
697         0         1         1         0         0         0         0         1         1         0         0         0         1         0         1         0         0         0         0         0         0         0         1         0         1         0         1         0         0         0         0          0          0          0          0          0          0          0   -1027704.125       1
781         0         0         0         0         0         1         0         1         1         0         0         1         1         1         0         0         1         0         0         0         0         0         0         0         1         0         1         0         0         0         0          0          0          0          0          0          0          0  -1026932.3125       1
293         0         0         0         1         1         0         0         1         0         0         0         0         1         1         1         0         0         1         0         0         0         0         1         0         0         0         0         1         0         0         0          0          0          0          0          0          0          0 -1025494.90625       1
603         1         0         0         1         1         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         1         0         0         0         1         0         1         1          0          0          0          0          0          0          0  -1023970.1875       1
993         1         0         0         0         0         0         0         1         0         1         0         0         0         1         0         0         0         0         1         0         0         0         1         0         0         0         0         1         1         1         0          0          0          0          0          0          0          0    -1021476.25       1
744         0         0         0         0         0         0         0         1         1         1         1         0         0         0         1         1         1         0         0         0         1         0         0         0         0         0         0         0         0         1         0          0          0          0          0          0          0          0  -1021324.1875       1
483         1         1         0         0         0         1         1         1         0         0         0         1         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0          0          0          0          0          0          0          1  -1020606.5625       1
775         1         0         0         1         0         1         0         1         0         0         0         0         0         0         1         0         1         0         1         0         1         0         0         0         0         0         0         0         0         0         1          0          0          0          0          0          0          0  -1019834.3125       1
27          0         0         0         0         0         1         0         1         0         1         0         0         0         1         0         0         0         0         0         0         0         1         0         0         1         1         1         1         0         0         0          0          0          0          0          0          0          0   -1018993.125       1
137         0         0         0         0         1         0         0         1         1         0         0         1         0         0         0         0         0         1         0         1         0         0         0         1         1         0         0         0         0         1         0          0          0          0          0          0          0          0    -1018773.75       1
0           0         0         0         0         0         0         0         1         1         1         0         1         0         1         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1          0          0          0          0          1          0          0  -1018225.9375       1
357         1         1         1         0         0         0         0         1         0         0         0         0         0         0         1         0         0         0         0         1         0         0         1         0         0         1         0         1         0         0         0          0          0          0          0          0          0          0    -1017475.25       1
565         1         0         0         0         0         1         1         1         1         0         0         0         1         0         0         0         0         0         1         0         0         0         0         0         1         0         0         1         0         0         0          0          0          0          0          0          0          0  -1016804.3125       1
481         1         0         1         0         1         0         0         1         0         0         0         1         0         0         0         0         1         0         0         0         0         0         1         0         1         0         0         0         0         1         0          0          0          0          0          0          0          0   -1014255.125       1
516         1         0         0         0         0         0         0         1         0         1         1         0         0         0         0         0         1         0         1         1         0         0         0         0         0         1         0         0         0         1         0          0          0          0          0          0          0          0   -1012164.875       1
337         1         0         0         0         0         0         0         1         0         1         1         0         0         1         1         0         0         0         1         0         0         0         0         1         0         0         0         0         0         0         0          0          0          0          1          0          0          0  -1011180.8125       1
803         0         0         0         1         0         1         0         1         1         0         0         0         1         0         0         0         1         0         0         0         1         0         0         0         1         0         0         0         0         0         1          0          0          0          0          0          0          0   -1008696.375       1
684         1         0         0         0         0         0         0         1         1         1         1         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         1         0         0         0         0          0          0          0          1          0          0          0  -1007738.0625       1
734         1         0         1         0         0         0         1         1         1         0         0         0         0         0         1         0         0         0         1         1         1         0         0         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0   -1006452.125       1
114         1         0         1         1         0         0         0         1         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         1         1         0         0         0         0         0          0          0          0          1          0          0          0  -1005995.6875       1
988         0         1         0         1         0         0         0         0         1         1         0         1         0         0         0         0         0         1         0         0         0         0         0         1         0         0         0         1         0         1         0          0          0          0          0          0          0          0   -1005916.375       1
52          0         0         0         1         0         1         0         1         1         0         0         0         0         0         0         1         1         0         0         0         1         0         0         0         0         1         0         0         0         1         0          0          0          0          0          0          0          0  -1005896.5625       1
985         1         0         0         1         0         1         0         1         0         0         1         0         1         0         0         0         0         0         0         0         0         1         0         0         0         0         0         1         0         0         0          0          0          0          1          0          0          0    -1005434.25       1
702         0         0         0         1         0         0         0         1         0         0         1         1         1         0         0         1         1         0         0         0         0         0         0         0         0         1         0         0         1         0         0          0          0          0          0          0          0          0  -1004844.1875       1
445         0         0         1         0         1         0         0         1         0         1         0         0         0         0         0         0         1         0         0         1         0         0         1         1         0         0         0         0         0         1         0          0          0          0          0          0          0          0     -1004015.0       1
417         1         0         0         0         0         1         0         1         0         0         0         1         0         0         1         0         0         0         1         0         0         0         0         0         1         0         0         0         0         0         1          0          0          0          1          0          0          0     -1001392.0       1
817         1         0         0         1         0         0         0         0         0         1         0         1         1         0         0         0         0         1         0         0         0         0         0         0         1         0         1         0         0         1         0          0          0          0          0          0          0          0   -999617.0625       1
536         0         1         0         0         0         1         1         1         0         0         1         0         0         0         0         0         0         0         0         1         1         1         1         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0  -998060.46875       1
226         0         1         0         0         0         1         0         1         1         0         0         0         0         0         0         0         0         0         1         0         1         0         0         0         1         0         1         0         0         0         1          0          0          0          0          0          0          0   -995372.9375       1
873         0         0         0         0         1         1         0         1         0         1         0         0         0         0         0         1         0         0         0         0         1         1         0         1         0         0         0         0         0         0         1          0          0          0          0          0          0          0   -994606.1875       1
436         1         0         0         0         1         0         0         1         0         0         1         1         0         0         0         0         0         0         1         0         0         0         1         0         1         0         0         0         1         0         0          0          0          0          0          0          0          0   -993034.9375       1
438         0         0         0         0         1         0         1         1         1         0         0         1         0         0         0         1         0         0         1         0         0         0         0         0         1         0         0         0         0         0         0          0          0          0          1          0          0          0    -989926.125       1
714         1         1         1         0         0         0         1         0         0         1         0         1         0         1         0         0         0         1         0         0         0         0         0         0         1         0         0         0         0         0         0          0          0          0          0          0          0          0  -989795.90625       1
513         0         0         0         1         1         0         0         1         0         0         0         0         1         0         0         0         0         0         0         1         0         0         0         0         1         1         0         0         1         1         0          0          0          0          0          0          0          0      -987204.0       1
872         0         1         0         0         1         1         0         1         0         0         0         0         0         0         1         0         0         1         0         1         0         0         0         0         0         1         0         0         0         0         1          0          0          0          0          0          0          0   -985286.9375       1
968         1         0         0         1         0         0         0         1         0         0         0         0         0         0         0         1         0         1         0         0         0         1         1         1         0         0         0         1         0         0         0          0          0          0          0          0          0          0     -985073.25       1
224         0         0         0         1         1         1         0         1         1         0         0         0         0         0         0         0         1         0         0         0         1         1         0         0         0         0         0         0         0         1         0          0          0          0          0          0          0          0    -984882.625       1
236         0         0         1         0         0         1         0         1         0         1         0         0         1         0         0         0         0         0         1         0         0         0         0         0         1         0         0         0         0         0         0          0          0          0          0          1          0          0      -983984.5       1
250         1         0         1         0         1         0         0         1         0         0         0         0         1         0         1         0         0         1         0         0         1         0         0         0         1         0         0         0         0         0         0          0          0          0          0          0          0          0   -983473.1875       1
84          0         0         0         1         0         0         0         0         1         1         0         1         0         0         0         1         0         0         1         1         0         0         0         0         0         0         1         1         0         0         0          0          0          0          0          0          0          0   -983045.9375       1
962         0         0         0         0         0         0         1         1         0         0         0         1         0         1         0         1         1         0         1         1         0         0         1         0         0         0         0         0         0         0         0          0          0          0          0          0          0          0   -980953.9375       1
321         0         0         1         0         0         1         0         1         0         0         1         1         0         0         0         0         1         1         1         0         0         0         0         0         0         1         0         0         0         0         0          0          0          0          0          0          0          0   -980855.6875       1
